claim,explanation,credibility,source
维生素C补充剂可改善失眠,营养学实验证实维生素C可缓解失眠,0.8797233892172241,AI Generated
医学界如何评价HPV疫苗可预防阿尔茨海默病?,大规模接种数据显示HPV疫苗预防阿尔茨海默病的有效率达{百分比},0.9636554458848521,AI Generated_增强2
专家证实冥想比药物更有效,医学研究证实药物疗效更可靠,0.06067511487341373,AI Generated_增强3
规律锻炼可降低心脏病风险是真的吗?,研究表明每周150分钟中等强度运动降低{百分比}风险,0.9001181376107731,AI Generated_增强2
多吃水果有益心脏健康是真的吗?,临床研究显示水果摄入可改善心血管功能,0.9485108017872611,AI Generated_增强2
规律锻炼可降低糖尿病风险,研究表明每周150分钟中等强度运动降低{百分比}风险,0.9638667709849511,AI Generated
精油比药物更有效是真的吗?,医学研究证实药物疗效更可靠,0.13639409832540833,AI Generated_增强2
医学界如何评价规律锻炼可降低中风风险?,研究表明每周150分钟中等强度运动降低{百分比}风险,0.9682297212815607,AI Generated_增强2
规律锻炼可降低阿尔茨海默病风险,研究表明每周150分钟中等强度运动降低{百分比}风险,0.9065982171991337,AI Generated_增强3
如何验证精油比药物更有效?,医学研究证实药物疗效更可靠,0.06960943300551825,AI Generated_增强2
临床发现: 每天8-9睡眠保持健康,睡眠研究指出8-9小时睡眠是最佳健康方案,0.9066506777891216,AI Generated_增强1
临床发现: 吃鱼类会致中风,权威研究澄清该说法没有科学依据,0.04984809666212804,AI Generated_增强1
医学界如何评价每天7-8睡眠保持健康?,睡眠研究指出7-8小时睡眠是最佳健康方案,0.9497173721642549,AI Generated_增强2
多吃蔬菜有益心脏健康,临床研究显示蔬菜摄入可改善心血管功能,0.9639106362078723,AI Generated_增强3
关于吃豆类会致癌症的说法可靠吗?,权威研究澄清该说法没有科学依据,0.0038100692280508943,AI Generated_增强2
关于规律锻炼可降低心脏病风险的说法可靠吗?,研究表明每周150分钟中等强度运动降低{百分比}风险,0.9274940260540508,AI Generated_增强2
钙补充剂可改善疲劳,营养学实验证实钙可缓解疲劳,0.8816101036534135,AI Generated
草药可治愈中风,临床研究证明该疗法无效,0.09039615416976823,AI Generated
专家证实规律锻炼可降低阿尔茨海默病风险,研究表明每周150分钟中等强度运动降低{百分比}风险,0.987215598334038,AI Generated_增强3
如何验证吃橄榄油会致糖尿病?,权威研究澄清该说法没有科学依据,0.09214817689041721,AI Generated_增强2
规律锻炼可降低癌症风险,研究表明每周150分钟中等强度运动降低{百分比}风险,0.9240499605347511,AI Generated
每天8-9睡眠保持健康是真的吗?,睡眠研究指出8-9小时睡眠是最佳健康方案,0.9612484114065191,AI Generated_增强2
每天7-8睡眠保持健康是真的吗?,睡眠研究指出7-8小时睡眠是最佳健康方案,0.9630084961114439,AI Generated_增强2
关于每天8-9睡眠保持健康的说法可靠吗?,睡眠研究指出8-9小时睡眠是最佳健康方案,0.926452059295761,AI Generated_增强2
最新医学报告: 精油比药物更有效,医学研究证实药物疗效更可靠,0.09614486440238774,AI Generated_增强1
最新医学报告: 规律锻炼可降低中风风险,研究表明每周150分钟中等强度运动降低{百分比}风险,0.9902152822830549,AI Generated_增强1
HPV疫苗可预防中风,大规模接种数据显示HPV疫苗预防中风的有效率达{百分比},0.9472931566346177,AI Generated
专家证实多吃豆类有益心脏健康,临床研究显示豆类摄入可改善心血管功能,0.9564527464236465,AI Generated_增强3
每天7-8睡眠保持健康是真的吗?,睡眠研究指出7-8小时睡眠是最佳健康方案,0.9268628439442301,AI Generated_增强2
流感疫苗可减少风险阿尔茨海默病,大规模接种数据显示流感疫苗预防阿尔茨海默病的有效率达{百分比},0.9939748701312974,AI Generated_增强3
每天6-7睡眠保持健康,睡眠研究指出6-7小时睡眠是最佳健康方案,0.8814623000724087,AI Generated
HPV疫苗可预防糖尿病,大规模接种数据显示HPV疫苗预防糖尿病的有效率达{百分比},0.9794216461300818,AI Generated
研究表明: 规律锻炼可降低中风风险,研究表明每周150分钟中等强度运动降低{百分比}风险,0.952415575916972,AI Generated_增强1
专家证实规律锻炼可降低高血压风险,研究表明每周150分钟中等强度运动降低{百分比}风险,0.9444086855428059,AI Generated_增强3
